Nombre;Dirección;Categoría;Teléfono;Emails;Sitio web;Estrellas;Comentarios;Reputación;Confianza;Contacto;Calidad;Utilidad
StartStop Baterías;Av. La Plata 1941, B1879HDI Quilmes, Provincia de Buenos Aires;Tienda de baterías para automóvil;011 7192-4998;;https://twitter.com/batstartstop;4.8;26;4,46;Medio;Medio;Regular;Promisoria
ELPRA SUCURSAL MAYORISTA;Av. Gral. Paz 13544, C1440 Cdad. Autónoma de Buenos Aires;Tienda de baterías para automóvil;011 5020-4536;;http://www.elpra.com.ar/;4.1;58;4,18;Medio;Medio;Regular;Promisoria
Electro Tools Argentina;Holmberg 3560, C1430 Cdad. Autónoma de Buenos Aires;Tienda de componentes electrónicos;011 4542-8312;;http://www.electro-tools.com.ar/;4.9;694;4,86;Alto;Medio;Potencial;Estratégica
Electrocomponentes S.A.;Cosquín 77, C1408GQB Cdad. Autónoma de Buenos Aires;Tienda de componentes electrónicos;011 4641-1223;;https://www.electrocomponentes.com/;4.1;95;4,16;Medio;Medio;Regular;Promisoria
Adma Distribuidora;Av. Hipólito Yrigoyen 4055, C1208 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 7078-1900;;http://www.admadistribuidora.com/;4.9;5562;4,89;Alto;Medio;Potencial;Estratégica
Electrocity;Carlos Calvo 1860, C1230 AAB, Cdad. Autónoma de Buenos Aires;Tienda de electricidad;7700-1005;;http://www.electrocity.com.ar/;4.2;641;4,21;Alto;Medio;Potencial;Estratégica
EBA - Eléctrica Buenos Aires;Av. Adolfo Alsina 841, B1828 Banfield, Provincia de Buenos Aires;Tienda de electricidad;011 7225-2000;;https://www.eba.com.ar/;4.7;285;4,64;Alto;Medio;Potencial;Estratégica
Electricidad Jujuy S.A.;Av. Juan de Garay 2355, C1256AAF Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4308-5458;;http://www.electricidadjujuy.com.ar/;4.4;391;4,39;Alto;Medio;Potencial;Estratégica
TodoMicro;Av. Triunvirato 4135 piso 4 oficina 58, C1431 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 5263-7073;info@todomicro.com.ar,soporte@todomicro.com.ar,mayorista@todomicro.com.ar;http://www.todomicro.com.ar/;4.7;1994;4,69;Alto;Alto;Estrella;Estratégica
Distribuidora Miler;Tres Arroyos 2046, C1416 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 7629-0591;ventas@miler.com.ar;http://www.distribuidoramiler.com.ar/;4.8;3103;4,79;Alto;Alto;Estrella;Estratégica
Casa de Electricidad - Paternal SRL;Av. Álvarez Jonte 1902, C1416 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4585-1326;ventas@paternalsrl.com.ar;https://paternalsrl.com.ar/;4.6;1366;4,59;Alto;Alto;Estrella;Estratégica
Treselec Tienda de Materiales Eléctricos;C. Jose E. Rodo 5799, C1405 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 3797-1609;;http://www.treselec.com.ar/;4.7;87;4,55;Alto;Medio;Potencial;Estratégica
Electricidad Zungri materiales Eléctricos - iluminación - armado deTableros;Av. Juan Bautista Alberdi 5054, C1440AAO Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4635-9274;;http://www.zungrielectricidad.com.ar/;4.8;257;4,72;Alto;Medio;Potencial;Estratégica
Electro Beato;Av. Juan Bautista Alberdi 6537, C1440ABD Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4687-2399;;https://www.electrobeato.com/;4.7;136;4,59;Alto;Medio;Potencial;Estratégica
Anri T.V.;Av. Lope de Vega 2278, C1417COS Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4568-3212;raul_arturi@hotmail.com;https://anritv.mercadoshops.com.ar/;4.6;509;4,57;Alto;Alto;Estrella;Estratégica
TODO PARA EL BOBINADOR;Adolfo Alsina 360, B1852 BVD, Provincia de Buenos Aires;Tienda de electricidad;011 4299-5220;;;3.4;9;4,15;Bajo;Bajo;Frío;Potencial
ELECTRODUK venta de materiales eléctricos;Av. Álvarez Thomas 3268, C1431 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4522-5744;;http://www.electro-duk.com/;4.4;35;4,33;Medio;Medio;Regular;Promisoria
Casa Leo Materiales Eléctricos s.r.l.;Nicasio Oroño 1910, C1416 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4581-6578;;;4.0;397;4,03;Medio;Bajo;Exploratorio;Promisoria
Electro Lugano SRL;Av. Argentina 5650, C1439 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4601-5774;;;4.8;147;4,67;Alto;Bajo;Durmiente;Promisoria
VEGA MAYORISTA MATERIALES ELECTRICOS E ILUMINACION;Av. de los Corrales 7150, C1440BBU Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4687-1012;;http://kalop.com.ar/;4.7;46;4,48;Medio;Medio;Regular;Promisoria
Electro Hidalgo;Hidalgo 317, C1405 Cdad. Autónoma de Buenos Aires;Tienda de electricidad;011 4901-8444;;;4.3;68;4,29;Alto;Bajo;Durmiente;Promisoria
Makkax®;Av. Castañares 1728, C1406IGD Cdad. Autónoma de Buenos Aires;Tienda de electrónica;5882-4701;postventa@makkax.com;http://www.makkax.com/;4.0;156;4,07;Medio;Alto;Activo;Estratégica
Electrónica Mataderos;Oliden 1459, C1440CQC Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 4687-0678;;https://www.google.com/search?q=electronica%2Bmataderos&oq=&gs_lcrp=EgZjaHJvbWUqCQgAEEUYOxjCAzIJCAAQRRg7GMIDMgkIARBF;4.3;142;4,3;Alto;Medio;Potencial;Estratégica
DBSTORE;Av. Triunvirato 5512A, C1431 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 6870-5589;;http://www.dbstore.com.ar/;4.4;938;4,39;Alto;Medio;Potencial;Estratégica
F.I Shop;California 2000, C1295 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 2881-7643;leandro.depietro@favarimportsa.com;https://fishop.com.ar/;4.9;517;4,85;Alto;Alto;Estrella;Estratégica
Nakan Soportes;Gavilán 2158, 1416 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 5263-9375;info@nakan.com.ar;https://www.nakan.com.ar/;3.8;29;4,11;Medio;Alto;Activo;Estratégica
Planeta Zenok;Av. Corrientes 1251, C1043 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 4381-5919;consultas@planetazenok.com,ventas@planetazenok.com;http://www.planetazenok.com/;4.1;2533;4,1;Medio;Alto;Activo;Estratégica
TeLoVendo Argentina;Av. Dorrego 1789, C1414 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 3898-3060;;http://www.telovendo.com.ar/;4.8;1076;4,78;Alto;Medio;Potencial;Estratégica
Electrónica Elemon S.A.;C.A. De, Capdevila 2707, C1431 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 4523-5555;ventas@elemon.com.ar;http://www.elemon.com.ar/;4.2;141;4,22;Alto;Alto;Estrella;Estratégica
Belmotec;Pola 1037, C1440 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 15-5636-0666;belmotec@gmail.com;http://www.belmotec.com.ar/;4.6;304;4,56;Alto;Alto;Estrella;Estratégica
Elec-Cell Repuestos;curapaligue 1608, Balbastro 1878, C1437, Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 15-3474-1716;eleccellhighqualityparts@gmail.com;http://www.eleccell.com.ar/;4.9;7;4,36;Bajo;Alto;Oportunidad;Potencial
ATAJO.ar;California 2385, C1289 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;0810-345-0662;;https://www.atajo.com.ar/;2.9;128;3,29;Bajo;Medio;En Proceso;Potencial
Oportunidades Vip;Pres. José Evaristo Uriburu 353, C1027 Cdad. Autónoma de Buenos Aires;Tienda de electrónica;011 5368-5880;;https://www.oportunidades-vip.com.ar/?google;4.0;1992;4,01;Medio;Medio;Regular;Promisoria
Electrónica Paternal;C1416CRY, Av. S. Martín 2310, 1416 Buenos Aires;Tienda de electrónica;011 15-6273-5025;;http://www.electronicapaternal.com.ar/;4.1;163;4,14;Medio;Medio;Regular;Promisoria
Grupo Emetres / Insumos y Herramientas;Fray Mamerto Esquiú 1345, B1820 Lanús, Provincia de Buenos Aires;Tienda de herramientas;011 4225-8830;;http://www.emetressrl.com/;4.7;634;4,67;Alto;Medio;Potencial;Estratégica
Centro de Materiales;Av. Avellaneda 3847, C1407 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4674-3664;;http://www.centrodemateriales.com.ar/;4.4;446;4,39;Alto;Medio;Potencial;Estratégica
Distribuidora Distor S.A.;Jerónimo Salguero 2030, C1425DER Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4824-5227;distribuidoradistor@gmail.com;https://distor.mercadoshops.com.ar/;4.6;374;4,56;Alto;Alto;Estrella;Estratégica
Todoferreteria Máquinas y Herramientas;Supermercado Jumbo, Guardia Vieja 4558 Local 104, C1192 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 6350-7833;info@todoferreteria.com;http://www.todoferreteria.com/;4.6;151;4,52;Alto;Alto;Estrella;Estratégica
Landau Maquinarias;Av. Asamblea 524, C1424 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4923-0918;landaumaq@fibertel.com.ar;http://www.maquinariaslandau.com.ar/;4.4;210;4,38;Alto;Alto;Estrella;Estratégica
El Gladiador;Av. Gral. Francisco Fernández de la Cruz 6356, C1439 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 2743-5687;;http://www.elgladiador.com.ar/;4.6;396;4,56;Alto;Medio;Potencial;Estratégica
Mataderos;Av. Eva Perón 5553, C1440 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4682-2322;;https://www.facebook.com/BuloneraMataderos;4.7;602;4,67;Alto;Medio;Potencial;Estratégica
Boxtul Tienda;Tapalqué 6985, C1440 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 5976-8017;;;2.6;283;2,85;Bajo;Bajo;Frío;Potencial
DISTOOL S.R.L.;Avenida Brasil 506, Bolívar 1501, C1154 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4300-1878;ventas@distool.com.ar;http://distool.com.ar/;4.8;4;4,32;Bajo;Alto;Oportunidad;Potencial
Casta Gas;Comuna 11, Av. Álvarez Jonte 2418, C1417CUS Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 3158-1521;;;3.6;36;4;Bajo;Bajo;Frío;Potencial
Herrajes Gaona;Andrés Lamas 1111, C1416BIA Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4581-0647;;;4.4;217;4,38;Alto;Bajo;Durmiente;Promisoria
Cerrajeria Cafayate;Cafayate 4989, C1439 Cdad. Autónoma de Buenos Aires;Tienda de herramientas;011 4471-5883;;;4.6;41;4,43;Medio;Bajo;Exploratorio;Promisoria
Autozen;Av. La Plata 1949, C1250 AAJ, Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 3990-9601;;https://www.autozen.com.ar/;4.6;733;4,58;Alto;Medio;Potencial;Estratégica
Grupo San Juan;Zavaleta 130, 1437 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4912-6229;info@gruposanjuan.com.ar;http://www.gruposanjuan.com.ar/;4.6;300;4,55;Alto;Alto;Estrella;Estratégica
DENGOM Central Barracas-Bridgestone Firestone;Magallanes 1408, C1288 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4302-1654;dengom@fibertel.com.ar;https://dengom.com.ar/;4.3;724;4,3;Alto;Alto;Estrella;Estratégica
Briomaq Sa;San Nicolás 1269, C1407 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4568-9902;;http://www.briomaq.com/;4.3;83;4,29;Alto;Medio;Potencial;Estratégica
Bull-Vial SRL;Cam. de Cintura 4020, B1839FQN 9 de Abril, Provincia de Buenos Aires;Tienda de neumáticos;011 5263-5020;ventas@bull-vial.com.ar;http://www.bull-vial.com.ar/;4.6;396;4,56;Alto;Alto;Estrella;Estratégica
NEUMATODO;Av. Bartolomé Mitre 1300, B1602 Florida Oeste, Provincia de Buenos Aires;Tienda de neumáticos;011 4961-4205;your.address@email.com;https://neumatodo.com/;4.4;305;4,38;Alto;Alto;Estrella;Estratégica
Neumáticos Centenario - Sucursal Villa Crespo -;Av. Estado de Israel 4427, C1185 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 5031-4527;;http://www.neumaticoscentenario.com.ar/;4.4;1078;4,39;Alto;Medio;Potencial;Estratégica
Bayres Neumáticos;Av. Gral. Mosconi 2146, C1419 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4500-7071;;https://www.bayresneumaticos.com.ar/;4.6;548;4,57;Alto;Medio;Potencial;Estratégica
Accesorios;Warnes 1165, C1414 Villa Crespo, Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4159-3661;;;0.0;0;4,28;Bajo;Bajo;Frío;Potencial
Neumáticos Pepiri;Pepirí 1181, C1437 Cdad. Autónoma de Buenos Aires;Tienda de neumáticos;011 4911-5784;;;4.5;250;4,46;Alto;Bajo;Durmiente;Promisoria
Diesel Frenos;Del Barco Centenera 2969, C1437 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4918-5163;;https://dieselfrenos.com.ar/;4.4;132;4,37;Alto;Medio;Potencial;Estratégica
Radiadores Lugano;Pola 3117, C1439 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4601-9152;radiadoreslugano@yahoo.com.ar;http://www.radiadoreslugano.com/;4.6;252;4,55;Alto;Alto;Estrella;Estratégica
Patti Autopartes;Av. Gral. Eugenio Garzón 5302, C1440 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4635-0112;ventas@pattiautopartes.com.ar;http://www.pattiautopartes.com.ar/;4.1;40;4,2;Medio;Alto;Activo;Estratégica
Alternativas Comerciales;Av. Int. Francisco Rabanal 2254, C1437 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4919-1500;gabrielwinitzky@acsanet.com.ar;http://www.acsanet.com.ar/;4.4;72;4,35;Alto;Alto;Estrella;Estratégica
NEUMOVIL;Del Barco Centenera 3197, C1437 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 2008-8204;info@neumovil.com.ar;http://www.neumovil.com.ar/;4.2;167;4,22;Alto;Alto;Estrella;Estratégica
Autopartes Buenos Aires;Av. San Martín 444, B1824FBJ Gerli, Provincia de Buenos Aires;Tienda de piezas de automóvil;011 3915-0368;;https://www.instagram.com/autopartesbsas/;4.2;1316;4,2;Alto;Medio;Potencial;Estratégica
LIDERCAR AUTOPARTES;Sgto. Cabral 5247, B1751 AFS, Provincia de Buenos Aires;Tienda de piezas de automóvil;011 7520-9109;;http://www.lidercar.com.ar/;4.6;90;4,49;Alto;Medio;Potencial;Estratégica
Roma Autopartes;Colón 2958, B1752BJT Lomas del Mirador, Provincia de Buenos Aires;Tienda de piezas de automóvil;011 4699-0066;info@romautopartes.com.ar;http://www.romautopartes.com.ar/;4.4;71;4,35;Alto;Alto;Estrella;Estratégica
Salernofaros;Tapalqué 6700, C1440 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4399-2806;salernofaros@gmail.com;https://salernofaros.com.ar/;4.5;177;4,45;Alto;Alto;Estrella;Estratégica
LA NUEVA IMAGEN;Terrero 3146, C1417 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4581-0012;;http://www.lanuevaimagen.com.ar/;4.5;55;4,4;Alto;Medio;Potencial;Estratégica
Hornes e Hijos - Atención mayorista y minorista.;Dr. Nicolás Repetto 2163, C1416 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 6241-8065;;http://www.hornesehijos.com.ar/;4.2;70;4,23;Alto;Medio;Potencial;Estratégica
Icepar;Añasco 2216, C1416 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4581-4777;;http://www.icepar.com.ar/;4.6;103;4,5;Alto;Medio;Potencial;Estratégica
Goicoechea Hnos. S.A.;Rojas 2117, C1416CPW Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4583-5888;;https://goicoechea.com.ar/;4.3;89;4,29;Alto;Medio;Potencial;Estratégica
Lada;Maturín 2632, C1416CTL Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4581-2895;info@servicioslada.com.ar,ariel651@hotmail.com;http://www.servicioslada.com.ar/;4.5;104;4,43;Alto;Alto;Estrella;Estratégica
DISTRIBUIDORA ABG;Parque Comercial Avellaneda Local E7, B1875 Avellaneda, Provincia de Buenos Aires;Tienda de piezas de automóvil;011 3758-6564;;;0.0;0;4,28;Bajo;Bajo;Frío;Potencial
Autopartes Villa Real;Av. Lope de Vega 2683, C1417 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 3120-2128;;https://www.instagram.com/autopartesvillareal/;5.0;6;4,36;Bajo;Medio;En Proceso;Potencial
Comexcar;Yapeyú 953, B1752 Lomas del Mirador, Provincia de Buenos Aires;Tienda de piezas de automóvil;011 7363-3034;;http://www.comexcar.com.ar/;5.0;1;4,3;Bajo;Medio;En Proceso;Potencial
Distribuidora Campomar;Warnes 1257, C1414 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;5263-2814;ventas@campomarsa.com.ar;http://www.campomarsa.com.ar/;4.8;9;4,36;Bajo;Alto;Oportunidad;Potencial
DPC Distribuidora Linea Pesada;Cátulo Castillo 2393, C1261 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 15-5810-5093;;;0.0;0;4,28;Bajo;Bajo;Frío;Potencial
Multipartes Buenos Aires;Del Barco Centenera 3276, C1437ACR Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4919-9274;;;4.5;421;4,48;Alto;Bajo;Durmiente;Promisoria
Aros Liniers S.A;Oliden 269, C1408 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4157-3215;;;4.5;209;4,46;Alto;Bajo;Durmiente;Promisoria
RD Accesorios;Av. Vieytes 126, B6740 Chacabuco, Provincia de Buenos Aires;Tienda de piezas de automóvil;02352 43-0515;;;4.8;12;4,38;Medio;Bajo;Exploratorio;Promisoria
Rally Global S.R.L.;Av. Álvarez Jonte 2180, C1416 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 3761-4812;;https://rallyglobal.com.ar/tienda;4.8;12;4,38;Medio;Medio;Regular;Promisoria
Cia. Norteña;Av. Dorrego 46, C1414 Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 6266-9837;;http://www.cianorte.com.ar/;4.3;31;4,29;Medio;Medio;Regular;Promisoria
St Autopartes(Semiejes);Av. Dorrego 153, C1414CJB Cdad. Autónoma de Buenos Aires;Tienda de piezas de automóvil;011 4857-9132;;;5.0;35;4,58;Medio;Bajo;Exploratorio;Promisoria
Radiadores Warnes;Warnes 1185, C1414 AAL, Cdad. Autónoma de Buenos Aires;Tienda de radiadores;011 4855-5010;radiadoreswarnes@hotmail.com;https://radiadoreswarnes.com/;4.5;511;4,48;Alto;Alto;Estrella;Estratégica
RADIADORES DEL SUR;Del Barco Centenera 3192, C1437 Cdad. Autónoma de Buenos Aires;Tienda de radiadores;011 4918-7266;info@radiadoresdelsur.com.ar;http://www.radiadoresdelsur.com.ar/;4.6;435;4,57;Alto;Alto;Estrella;Estratégica
MotorTrans;Vieytes 1409, C1291 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 4301-7793;ofventas@motortrans.com.ar;http://www.motortrans.com.ar/;4.7;72;4,53;Alto;Alto;Estrella;Estratégica
OFF ROAD ACCESORIOS 4X4;Grito de Asencio 3475, C1424 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 5642-1688;offroad_accesorios4x4@hotmail.com;https://offroadaccesorios4x4.empretienda.com.ar/?fbclid=PAAaZcLBkDY0hydIxgBMExb96kaYyswxbLfTVMuDBcBLOYTn6Lgg--3aC5fHQ;4.9;175;4,76;Alto;Alto;Estrella;Estratégica
Recycled Parts;CBA, Av. Crovara 1895, B1766 La Tablada, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 4454-7666;;http://www.recycledparts.com.ar/;4.3;941;4,3;Alto;Medio;Potencial;Estratégica
Surgeonparts;Av. Juan Bautista Justo 8077, C1406 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 7101-2066;info@surgeonparts.com;https://surgeonparts.com/;4.3;24;4,29;Medio;Alto;Activo;Estratégica
Recycled Parts;CBA, Av. Crovara 1895, B1766 La Tablada, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 4454-7666;;http://www.recycledparts.com.ar/;4.3;941;4,3;Alto;Medio;Potencial;Estratégica
Chevroalet;Av. Dr. Ricardo Balbín 3317, C1430 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 15-4051-3709;;https://www.chevroalet.com/;4.5;421;4,48;Alto;Medio;Potencial;Estratégica
LNG Olivieri - NORA Center Ciudadela;CHZ Ciudadela Buenos Aires AR, Av. Rivadavia 12944, B1702;Tienda de repuestos de automóviles usados;011 5129-3350;;http://www.lngolivieri.com.ar/;4.3;103;4,29;Alto;Medio;Potencial;Estratégica
DC tienda de repuestos;Warnes 1277, C1414 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 3056-1522;;https://dc-tienda-de-repuestos.negocio.site/;5.0;6;4,36;Bajo;Medio;En Proceso;Potencial
TODO REPUESTOS WARNES;Warnes 1486, C1416 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 6570-9594;;https://www.instagram.com/todorepuestos1486/;4.3;6;4,28;Bajo;Medio;En Proceso;Potencial
Autopiezas Pana - División Minorista;Av. La Plata 1933, B1878 Quilmes, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 2086-0066;;;4.4;103;4,36;Alto;Bajo;Durmiente;Promisoria
Baterias Brown;Av. San Martín 3596, B1847 Rafael Calzada, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 4880-8703;;;5.0;128;4,8;Alto;Bajo;Durmiente;Promisoria
Chizzi Suspensión;Av. José María Moreno 1501, C1424 ABC, Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 4924-6124;;;4.6;162;4,53;Alto;Bajo;Durmiente;Promisoria
Paternal Motor zona sur;Av. San Martín 4344, B1847 Rafael Calzada, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 2113-7944;;;4.5;59;4,4;Alto;Bajo;Durmiente;Promisoria
Repuestos 24.7;Carlos Casares 1357, B1755 Rafael Castillo, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 5462-4216;;https://www.facebook.com/Repuestos_247-109776698482120/;4.7;45;4,48;Medio;Medio;Regular;Promisoria
autopartes quique;Av. Albarellos 2386, C1419 Cdad. Autónoma de Buenos Aires;Tienda de repuestos de automóviles usados;011 4571-6315;;http://facebook.com/repuestosquique;4.5;19;4,34;Medio;Medio;Regular;Promisoria
Mega Repuestos y Accesorios;Av. Manuel Belgrano 2599, B1872FVE Sarandí, Provincia de Buenos Aires;Tienda de repuestos de automóviles usados;011 4205-0240;;;4.3;14;4,29;Medio;Bajo;Exploratorio;Promisoria
REPUESTOS ELITE CARS ARGENTINA (Tienda Virtual);Conesa 2531, C1428 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 6147-5765;infoargentina@elitecarsrepuestos.com;https://www.repuestoselitecarsargentina.com/;4.7;45;4,48;Medio;Alto;Activo;Estratégica
Chevroparts;Warnes 1077, C1414AAK Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4858-0988;;https://www.chevroparts.com/;4.4;480;4,39;Alto;Medio;Potencial;Estratégica
Kolme Motors S.R.L.;Av. Dorrego 43, C1414CJA Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 3023-0001;info@kolmemotors.com;http://www.kolme.com.ar/;4.3;97;4,29;Alto;Alto;Estrella;Estratégica
Radiadores Carlitos S.A.;Av. Dorrego 41, C1414CJA Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4854-3840;info@radiadorescarlitos.com.ar;http://www.radiadorescarlitos.com.ar/;4.5;592;4,48;Alto;Alto;Estrella;Estratégica
Autopartes Castelar;Av. Hipólito Yrigoyen 1547, B1708DMP Morón, Provincia de Buenos Aires;Tienda de repuestos para automóvil;011 3237-4989;;http://www.autopartescastelar.com/;4.2;106;4,23;Alto;Medio;Potencial;Estratégica
Autofar S.a.;Presbitero Pedro F. Uriarte 427, remedios de escalada, 1826, Provincia de Buenos Aires;Tienda de repuestos para automóvil;011 4242-7053;autofarargentina@gmail.com,consultas@autofar.com.ar;http://www.autofar.com.ar/;4.4;121;4,37;Alto;Alto;Estrella;Estratégica
Encendido Chabuco;Warnes 784 Local, C1414AAU Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4854-7818;info@chabuco.com.ar;http://www.chabuco.com.ar/;4.6;63;4,46;Alto;Alto;Estrella;Estratégica
Ls Palermo;Serrano 1343, C1414 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 2255-0365;serranolubri@gmail.com;http://www.lspalermo.com.ar/;4.1;233;4,13;Medio;Alto;Activo;Estratégica
Alta Gama Repuestos;Av. Álvarez Thomas 2040, C1430EEN Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 6277-0520;consultas@repuestosaltagama.com.ar;http://www.repuestosaltagama.com.ar/;4.5;224;4,46;Alto;Alto;Estrella;Estratégica
Inyección Dulbecco;Atención Online únicamente, Costa Rica 4461, C1414 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4833-9306;sebasdulbecco@gmail.com;http://dulbeccoinyeccion.com.ar/;4.5;135;4,44;Alto;Alto;Estrella;Estratégica
Dodge del Tejar;Crisólogo Larralde 3864, C8174 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 7135-7938;;https://bio.site/dodgedeltejar;4.6;2443;4,59;Alto;Medio;Potencial;Estratégica
Tren - del;Av. Dr. Ricardo Balbín 3765, C1430 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4542-8048;tren-del@hotmail.com;http://www.tren-del.com/;4.6;33;4,41;Medio;Alto;Activo;Estratégica
Repuestos y Accesorios Encendido Larralde;Crisólogo Larralde 5000, C1431 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4545-3417;ventas@encendidolarralde.com.ar;http://www.encendidolarralde.com.ar/;4.4;385;4,39;Alto;Alto;Estrella;Estratégica
Repuestos Urquiza;Av. Congreso 5786, C1431AAZ Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 4571-4728;rurquiza@rurquiza.com.ar;https://repurquiza.mercadoshops.com.ar/;4.4;298;4,38;Alto;Alto;Estrella;Estratégica
Juan y Juan repuestos ford;Av. de los Incas 5143, C1427 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 2548-7560;fordjuanyjuan@yahoo.com.ar;http://www.juanyjuan.com.ar/;4.5;602;4,48;Alto;Alto;Estrella;Estratégica
Okki Japan Repuestos Japoneses;Warnes 1760, C1416 Cdad. Autónoma de Buenos Aires;Tienda de repuestos para automóvil;011 3325-5133;;https://www.mercadolibre.com.ar/pagina/pada9837312?fbclid=PAZXh0bgNhZW0CMTEAAaah3VybmzD6gmwgmFY8R4KuP98dCm9uiHvu4HqMcRsgB_5Wv02yUaqXS1M_aem_s9Kvs309D_U1J_p4Ucbu1w;4.4;78;4,35;Alto;Medio;Potencial;Estratégica
